age,E1,N1,A1,C1,O1
18,3,3,1,3,3
14,2,5,2,4,4
17,3,2,5,3,2
16,2,4,2,4,5
21,2,2,5,3,3
22,4,1,1,2,3
24,1,3,1,5,4
21,2,3,2,3,2
14,1,5,5,4,3
27,3,5,2,5,3
19,4,4,5,3,5
21,3,4,1,5,4
19,3,3,1,3,4
17,2,2,3,3,2
51,1,5,3,1,5
21,4,2,4,3,2
17,1,5,2,2,4
34,4,3,3,3,2
17,1,4,5,5,4
36,1,4,4,5,3
25,3,3,1,4,4
18,4,2,3,3,4
21,4,5,3,2,3
38,2,2,1,3,3
58,4,4,1,3,5
17,3,4,3,2,4
40,2,5,3,1,5
21,2,3,1,2,3
26,2,2,1,4,3
22,4,3,1,3,3
30,3,5,5,4,3
18,4,4,2,3,4
63,1,5,4,2,2
17,3,2,5,4,1
18,1,5,5,1,1
17,4,4,2,2,5
18,1,1,1,5,5
17,3,2,2,4,1
17,2,4,1,3,3
68,1,1,1,3,5
35,1,4,2,4,2
62,1,1,1,1,5
17,3,5,1,3,3
36,1,3,5,5,4
17,1,1,1,1,3
27,2,2,2,4,4
36,4,4,2,2,4
18,1,2,4,4,4
32,3,3,1,4,4
20,4,3,2,2,5
40,4,2,2,3,4
22,4,4,1,5,4
14,3,2,2,1,2
17,2,3,3,3,2
52,2,3,3,4,5
16,1,5,2,1,5
33,1,2,2,3,3
30,1,5,2,3,5
29,2,4,3,3,4
27,2,5,1,4,5
20,1,3,3,3,3
23,2,4,4,3,1
17,1,1,1,1,4
25,3,3,4,3,4
32,1,5,3,5,5
37,3,4,2,4,3
31,5,2,1,4,4
33,4,2,1,3,4
20,1,1,2,1,3
25,4,4,2,3,4
19,3,1,5,1,3
44,5,3,1,3,4
36,1,4,5,4,5
27,4,2,2,3,5
59,3,4,1,2,2
25,2,4,4,3,3
14,1,5,2,4,5
19,3,4,3,2,3
48,1,4,5,4,5
49,4,2,1,4,4
22,2,2,1,4,4
21,4,1,2,4,3
22,2,5,5,3,2
27,1,4,5,2,4
16,5,2,5,2,1
40,4,3,1,4,4
25,1,5,1,2,3
16,4,5,1,3,3
28,3,4,2,3,4
28,2,5,1,2,4
29,5,2,5,3,3
23,2,4,3,3,4
39,3,3,2,4,3
20,1,5,1,4,5
17,3,4,2,2,3
18,3,4,1,4,5
27,3,2,2,4,5
13,3,3,2,3,3
49,1,3,3,4,4
50,3,2,2,4,4
16,1,5,1,1,5
25,4,4,4,2,3
19,2,4,5,4,4
50,4,3,1,3,5
19,2,3,3,4,4
26,1,4,3,5,5
16,1,2,3,4,5
57,2,3,2,4,4
42,1,4,2,4,4
19,2,4,4,2,2
16,3,3,4,3,5
20,2,1,1,4,5
38,2,2,1,4,5
44,2,3,2,4,4
63,1,4,2,4,4
19,3,1,1,5,4
23,3,3,3,3,3
34,1,5,5,4,5
31,2,4,2,1,3
23,5,5,3,1,5
13,1,5,1,2,5
21,2,5,2,3,5
39,1,3,1,3,3
55,3,3,1,4,4
18,1,4,4,2,5
24,3,3,3,3,2
44,1,3,1,5,4
40,4,2,2,4,5
27,4,1,1,1,4
42,2,3,2,4,4
15,2,3,2,5,5
37,2,5,2,2,5
53,5,3,1,5,4
16,1,2,1,3,5
26,2,4,2,4,4
20,3,4,1,3,4
23,4,3,1,3,4
19,3,4,3,3,2
22,2,3,3,2,4
20,3,3,2,2,3
46,2,2,2,4,5
21,1,5,2,4,5
39,4,2,1,4,4
21,5,2,3,4,4
23,4,1,2,4,4
14,4,3,4,2,4
50,3,3,2,5,4
16,4,3,2,2,2
17,2,5,1,2,5
24,3,5,2,3,4
42,2,4,2,5,5
36,1,4,2,4,4
19,2,5,3,2,4
21,3,4,3,4,5
42,5,2,1,3,5
20,2,2,2,2,4
17,3,5,2,2,5
22,4,3,2,4,5
26,2,2,5,4,5
19,3,2,2,4,4
50,2,5,3,5,5
36,1,4,3,2,5
42,4,2,1,5,4
14,4,5,4,3,4
32,4,4,2,3,4
36,4,3,1,2,3
20,3,4,2,4,4
39,3,1,3,4,5
57,3,3,1,4,5
29,1,5,3,3,3
14,2,3,2,4,4
25,1,3,1,3,4
17,1,5,1,1,4
16,2,5,1,5,4
21,3,5,1,2,3
57,4,2,2,3,5
39,3,2,2,3,2
23,1,5,1,2,4
58,4,5,2,3,5
54,4,3,2,4,5
19,3,4,5,3,5
21,1,2,2,4,3
56,1,5,1,5,5
16,3,3,1,4,4
14,3,5,5,3,4
52,1,5,1,3,1
25,5,2,1,2,4
22,1,1,2,5,5
32,4,4,1,4,4
20,1,5,4,2,4
48,3,1,1,3,4
25,3,2,2,4,4
